title,comapny,location,date_opened,applied,screen,interview,offer,rejected,archived
software engineer,temporal technologies,remote,10/26/22,1,0,0,0,0,0
software engineer,lucidworks,remote,10/26/22,1,0,0,0,0,0
associate database developer,autosoft dms,remote,10/26/22,1,0,0,0,0,0
data engineer,thermo fisher scientific,remote,10/26/22,1,0,0,0,0,0
site reliability engineer / sre (hybrid),awm,irvine,10/26/22,1,0,0,0,0,0
java software engineer,pimco,newport beach,10/26/22,1,0,0,0,0,0
software engineer - backend,gantry,remote,10/26/22,1,0,0,0,0,0
software engineer,rockwell automation,remote,10/26/22,1,0,0,0,1,0
software engineer (c++),corelogic,irvine,10/26/22,1,0,0,0,0,0
associate cloud developer,ironside,remote,10/26/22,1,0,0,0,0,0
software dev engineer - yahoo mail,yahoo,remote,10/26/22,1,0,0,0,0,0
software engineer, solutions,liftoff mobile,remote,10/26/22,1,0,0,0,0,0
software engineer,lacework,united states,10/26/22,1,0,0,0,0,0
integration engineer,bolt,remote,10/26/22,1,0,0,0,0,0
software engineer,cross river,remote,10/26/22,1,0,0,0,0,0
linux machine learning engineer junior/newgrad,collabera,san diego,10/25/22,1,0,0,0,0,0
infrastructure engineer (remote),huxley,remote,10/25/22,1,0,0,0,0,0
software engineer, machine learning,proofpoint,remote,10/24/22,1,0,0,0,0,0
software engineer — mlops,intellibus,remote,10/24/22,1,0,0,0,0,0
data infrastructure & services engineering sqa remote intern,hewlett packard (hp),remote,10/24/22,1,0,0,0,0,0
back-end engineer,ti health,santa monica remote,10/24/22,1,0,0,0,0,0
junior data engineer,resideo,austin,10/24/22,1,0,0,0,0,0
data analyst,agentsync,remote,10/24/22,1,0,0,0,0,0
data engineer - bi,wyze,california remote,10/24/22,1,0,0,0,0,0
software developer, uav operations center,general atomics,poway ca,10/24/22,1,1,0,0,0,0
software engineer golang - remote,dell technologies,remote,10/24/22,1,0,0,0,0,0
netsuite developer - (remote),oracle,remote,10/18/22,1,0,0,0,0,0
database engineer,telka,remote,10/18/22,1,0,0,0,0,0
software engineer,medspace,denver co,10/18/22,1,0,0,0,0,0
python developer,pinnacle,remote,10/18/22,1,0,0,0,0,0
software engineer,atpco,remote,10/18/22,1,0,0,0,0,0
software developer iii,ceridian,remote,10/18/22,1,0,0,0,0,0
software engineer 1 (new grad-anaheim, ca),l3harris technologies,anaheim,10/18/22,1,0,0,0,0,0
associate, systems engineer,l3harris technologies,anaheim,10/18/22,1,0,0,0,0,0
node developer,mitchell martin,remote,10/18/22,1,0,0,0,0,0
site reliability engineer,scopely,remote,10/18/22,1,0,0,0,0,0
data ops engineer,egen,remote,10/18/22,1,1,0,0,0,0
data scientist,alkymi,remote,10/18/22,1,0,0,0,0,0
software engineer,lytics_,remote,10/18/22,1,0,0,0,0,0
big data engineer,gladwell,ny remote,10/18/22,1,0,0,0,0,0
machine learning engineer,fidelity investments,greenwood village co,10/16/22,1,0,0,0,0,0
application programmer/developer (hadoop),usbank,denver co,10/16/22,1,0,0,0,0,0
software engineer,footlocker,denver remote,10/16/22,1,0,0,0,0,0
software engineer,canvue,remote,10/16/22,1,0,1,0,0,0
associate software engineer,sev1tech,el segundo, seal beach, aurora,10/16/22,1,0,0,0,0,0
hitl software engineer,rocket lab,long beach,10/16/22,1,0,0,0,0,0
100% remote sr software engineer(c#/.net),landrys,remote,10/16/22,1,0,0,0,0,0
software engineer,anduril,newport beach, ca, usa,10/16/22,1,0,0,0,0,0
kotlin dev,egen,remote,10/14/22,1,0,0,0,0,0
associate software engineer - remote,mindex,remote,10/14/22,1,0,0,0,0,0
swe1 - software engineer i,zoll data,broomfield co,10/14/22,1,0,0,0,0,0
2023 software engineer 1,national instruments,austin,10/14/22,1,0,0,0,0,0
python automation engineer,tech mahindra,san diego,10/14/22,1,0,0,0,0,0
infrastructure engineer - macroscope,unusual ventures,denver co,10/14/22,1,0,0,0,0,0
software developer (python),proofpoint,broomfield co,10/14/22,1,0,0,0,0,0
python developer,ix,remote,10/14/22,1,0,0,0,0,0
data scientist, fermentation r&d,meati,boulder,10/14/22,1,0,0,0,0,0
associate, systems engineer,l3harris technologies,anaheim,10/14/22,1,0,0,0,0,0
software developer ii,1898 & co.,brea, ca,10/14/22,1,0,0,0,0,0
software engineer - java e4033,nisum,costa mesa,10/14/22,1,0,0,0,0,0
professional, software engineer,corelogic,louisville co,10/14/22,1,0,0,0,0,0
earth observations processing software engineer,spire,denver remote,10/14/22,1,0,0,0,0,0
software engineer,spectrum,greenwood village, co,10/14/22,1,0,0,0,0,0
devops engineer,inadev,remote,10/14/22,1,0,0,0,0,0
python developer,inadev,remote,10/14/22,1,0,0,0,0,0
python developer,data edge,austin remote,10/14/22,1,0,0,0,0,0
software developer intern,marsx,remote,10/14/22,1,0,0,0,0,0
software engineer,optomi,remote,10/14/22,1,0,0,0,0,0
engineer, desktop software,masimo,irvine,10/14/22,1,0,0,0,0,0
software engineer,affirm,remote in usa,10/14/22,1,0,0,0,0,0
software engineer,starz,denver hybrid,10/14/22,1,0,0,0,0,0
software engineer (p3494),84.51 degrees,remote,10/14/22,1,0,0,0,0,0
software engineer,84.51 degrees,northbrook, il, usa + 6 more,10/14/22,1,0,0,0,0,0
software development engineer, test,alteryx,irvine, ca,10/14/22,1,0,1,0,0,0
new grad data engineering (winter 2023),blend360,denver, co,10/14/22,1,0,0,0,0,0
software engineer 1 (devops),garmin,boulder, colorado,10/12/22,1,0,0,0,0,0
.net software developer,applied medical,rancho santa margarita,10/12/22,1,0,0,0,0,0
site reliability engineer (sre),rei,seattle / remote,10/12/22,1,0,0,0,0,0
application developer i,applied medical,rancho santa margarita,10/4/22,1,0,0,0,0,0
low level software engineer (c++),hudson river trading,boulder/austin/remote,10/4/22,1,0,0,0,0,0
java software engineer,engine,remote,10/4/22,1,0,0,0,0,0
software engineer i,chegg,remote,10/4/22,1,0,0,0,0,0
new grad – mission software engineer,anduril,newport beach, ca, usa,10/2/22,1,0,0,0,0,0
software engineer,carrot fertility,remot,10/2/22,1,0,0,0,0,0
2 week interview bootcamp,speak_,remote,9/29/22,1,0,0,0,0,0
professional, data scientist,corelogic,irvine,9/29/22,1,0,0,0,0,0
professional, software engineer,corelogic,irvine,9/29/22,1,0,0,0,0,0
machine learning engineer, early career ref #12772,viasat,remote or in office,9/27/22,1,0,0,0,0,0
associate data scientist,ford motor company,remote,9/27/22,1,0,0,0,0,0
devops engineer, early career,viasat,remote,9/26/22,1,0,0,0,0,0
analyst-marketing-22027266,american express,phoenix remote,9/23/22,1,0,0,0,0,0
full stack engineer - ci/cd-22025364,american express,phoenix remote,9/23/22,1,0,0,0,0,0
software engineer, early career - apis,viasat,carlsbad remote,9/17/22,1,0,0,0,0,0
production software engineer i,oracle,remote,9/17/22,1,0,0,0,0,0
software developer 1,oracle,remote,9/17/22,1,0,0,0,0,0
junior software engineer,orbitsky,remote,9/17/22,1,0,0,0,0,0
swe talent community,circleci,remote,9/16/22,1,0,0,0,0,0
software engineer ii, python,trueml, trueaccord,remote,9/16/22,1,0,0,0,0,0
data scientist,patra,remote,9/16/22,1,0,0,0,0,0
linux software engineer,advantech,irvine,9/15/22,1,0,0,0,0,0
flutter developer,sequoia applied technologies,ca remote,9/15/22,1,0,0,0,0,0
data scientist,paramount,la remote,9/15/22,1,0,0,0,0,0
junior software developer,datex,calabasas, ca,9/15/22,1,0,0,0,0,0
software engineer, electric vehicle charging,abb,irvine hybrid,9/15/22,1,0,0,0,0,0
software engineer - retail is&t,apple,austin,9/15/22,1,0,0,0,0,0
java software engineer,apple,austin,9/15/22,1,0,0,0,0,0
data analyst - strategic data solutions,apple,austin,9/15/22,1,0,0,0,0,0
marketing data analyst,apple,austin,9/15/22,1,0,0,0,0,0
python/react developer,totalcae,remote,9/13/22,1,0,0,0,0,0
data analyst,crumbl,lindon ut,9/13/22,1,0,0,0,0,0
software engineer – new college graduate,vectra,austin, tx, usa + 1 more,9/13/22,1,0,0,0,0,0
data engineer – undergrad new college grad,visa,austin, tx, usa,9/13/22,1,0,0,0,0,0
junior software engineer,abc fitness,remote,9/13/22,1,0,0,0,0,0
sde 2, new initiative, aws cloud databases,amazon,irvine,9/13/22,1,0,0,0,0,0
python developer (remote),tandym,laguna beach remote,9/13/22,1,0,0,0,0,0
software engineer – undergrad new college grad,visa,highlands ranch, co, usa,9/12/22,1,0,0,0,0,0
new college grad, firmware engineer,western digital,irvine, colorado,9/12/22,1,0,0,0,0,0
new college grad engineer, software development test engineering,western digital,irvine,9/12/22,1,0,0,0,0,0
2023 software engineering recent grad positions – cat digital,caterpillar inc.,westminster, colorado,9/7/22,1,0,0,0,0,0
engineer, software developer (remote),pratt and whitney,remote,9/6/22,1,0,0,0,0,0
software engineer,bitsight,remote,9/6/22,1,0,0,0,0,0
software engineer - full-stack (campus),0x labs,remote,9/6/22,1,0,0,0,0,0
software engineer i,levadata,remote,9/6/22,1,0,0,0,0,0
software engineer,bitsight,remote,9/2/22,1,0,0,0,0,0
open source python engineer,voltron data,remote,9/2/22,1,0,0,0,0,0
software engineer,yugabyte,united states,9/2/22,1,0,0,0,0,0
software engineer, product (remote),weights and biases,remote,9/2/22,1,0,0,0,0,0
jr. software developer (department: management information system),spigen,irvine,9/2/22,1,0,0,0,0,0
new grad – mission software engineer,anduril,newport beach, ca, usa,9/2/22,1,0,0,0,0,0
software developer,cgi,denver, co,8/30/22,1,0,0,0,0,0
software engineer,singularity data,remote,8/30/22,1,0,0,0,0,0
application developer,l3harris technologies,remote,8/30/22,1,0,0,0,0,0
software dev engineer i, prime video sports,amazon,remote,8/30/22,1,0,0,0,0,0
software developer,roblox,remote,8/30/22,1,0,0,0,0,0
software test engineer - map production,tusimple,san diego / remote,8/26/22,1,0,0,0,0,0
data engineer,paramount,remote,8/26/22,1,0,0,0,0,0
software engineer, early career,jerry,remote,8/25/22,1,0,0,0,0,0
software architect - remote,cyber coders,remote,8/25/22,1,0,0,0,0,0
new grad – software engineer i,uber,san francisco, ca, usa,8/24/22,1,0,0,0,0,0
software engineer - on campus recruiting 2023,hudson river trading,boulder,8/24/22,1,0,0,0,0,0
algo software engineer - on campus recruiting 2023,hudson river trading,boulder co,8/24/22,1,0,0,0,0,0
data scientist (algorithm engineer),taboola,ny,8/24/22,1,0,0,0,0,0
analyst – digital & data analytics (full stack),stout,irvine,8/24/22,1,0,0,0,0,0
software developer,amazon,irvine,8/24/22,1,0,0,0,0,0
software engineer i - back-end,stub hub,irvine,8/24/22,1,0,0,0,0,0
qa engineer - analytics, experian consumer services (remote),experian,remote,8/24/22,1,0,0,0,0,0
new grad software engineer, backend,circle,remote,8/24/22,1,0,0,0,0,0
new grad software engineer,circle,san francisco, ca, usa + 1 more,8/24/22,1,0,0,0,0,0
software development engineer, data center systems,amazon,denver,8/24/22,1,0,0,0,0,0
swe 1,relativity space,lb,8/24/22,1,0,0,0,0,0
title,comapny,location,date_opened,applied,screen,interview,offer,rejected,archived
residential - software engineer (api/.net),costar group,irvine hybrid,11/2/22,1,0,0,0,1,0
data scientist, fraud risk decision science,wex,remote,11/1/22,1,0,0,0,1,0
software engineer,picnic health,san francisco, ca, usa + 1 more,10/31/22,1,0,0,0,1,0
backend engineer (remote),reviewtrackers,chicago remote,10/31/22,1,0,0,0,1,0
software engineer (remote),solustaff,remote,10/30/22,1,0,0,0,1,0
backend engineer,fermata energy,remote,10/29/22,1,0,0,0,1,0
software developer ii (engineer ii),nisc,nd, mo, remote,10/29/22,1,0,0,0,1,0
software engineer,optimal dynamics,remote,10/28/22,1,0,0,0,1,0
software engineer - backend calculations,addepar,ny remote,10/27/22,1,0,0,0,1,0
software development engineer in test 2 (sdet) remote,autodesk,remote,10/27/22,1,0,0,0,1,0
backend software engineer,rxdefine,remote,10/26/22,1,0,0,0,1,0
software engineer,finvi,remote,10/26/22,1,0,0,0,1,0
software engineer i, data engineering,yipitdata,remote est,10/26/22,1,0,0,0,1,0
artificial intelligence engineer,kira learning,sf,10/26/22,1,0,0,0,1,0
software engineer ii,midmark,irvine,10/26/22,1,0,0,0,1,0
software engineer,nex health,remote,10/26/22,1,0,0,0,1,0
software engineer,amplify,remote,10/26/22,1,0,0,0,1,0
software engineer,lucid,remote,10/25/22,1,0,0,0,1,0
software engineer,lucid,remote in usa,10/25/22,1,0,0,0,1,0
software engineer, guild ai,rstudio,remote,10/24/22,1,0,0,0,1,0
data warehouse engineer,scaled agile,boulder remote,10/18/22,1,0,0,0,1,0
all levels devops engineer - mulesoft,salesforce,remote,10/18/22,1,0,0,0,1,0
software developer ii - operations (remote),signant health,remote,10/16/22,1,0,0,0,1,0
software engineer - early career,lockheed martin,littleton co,10/16/22,1,0,0,0,1,0
software battery engineer (battery/energy storage,smartville,carlsbad,10/16/22,1,0,0,0,1,0
backend engineer,ascendion,remote,10/14/22,1,0,0,0,1,0
ground software engineer,spacex,mcgregor, tx, usa + 1 more,10/14/22,1,0,0,0,1,0
junior ai/ml software developer (remote),paradyme management,remote,10/14/22,1,0,0,0,1,0
software engineer,oi_,remote,10/14/22,1,0,0,0,1,0
machine learning engineer i,dat freight & analytics,denver,10/14/22,1,0,0,0,1,0
ai/ml engineer (remote),coforma,denver remote,10/14/22,1,0,0,0,1,0
backend software engineer (parse.ly),auttomatic,denver,10/14/22,1,0,0,0,1,0
data analyst – growth,proven skincare,remote,10/14/22,1,0,0,0,1,0
software engineer - early career,lockheed martin,littleton co,10/14/22,1,0,0,0,1,0
software engineer intern (part time) - ksu office,garmin,manhattan kansas,10/12/22,1,0,0,0,1,0
software engineer 1,garmin,boulder, co,10/12/22,1,0,0,0,1,0
software engineer 1,garmin,salem oregon,10/12/22,1,0,0,0,1,0
low level software engineer,hudson river trading,boulder, co, usa,10/4/22,1,0,0,0,0,0
site reliability engineer intern,carlsbad,carlsbad,10/4/22,1,0,0,0,1,0
backend software engineer,yahoo,remote,9/29/22,1,0,0,0,1,0
machine learning engineer, early career,viasat,remote,9/27/22,1,0,0,0,1,0
software engineer, early career ref #12784,viasat,remote,9/26/22,1,0,0,0,1,0
software engineer, early career ref #12764,viasat,remote,9/26/22,1,0,0,0,1,0
software engineer,abnormal security,remote + 1 more,9/17/22,1,0,0,0,1,0
cloud devops software engineer,the standard,remote,9/17/22,1,0,0,0,1,0
engineer, publishing platform,dreamhaven,irvine,9/17/22,1,0,0,0,1,0
software engineer - c++,relativity space,long beach,9/17/22,1,0,0,0,1,0
software engineer early career,viasat,carlsbad remote,9/17/22,1,0,0,0,1,0
python developer,tektalent,scottsdale remote,9/16/22,1,0,0,0,1,0
full-stack software developer,national renewable energy laboratory,golden, co,9/16/22,1,0,0,0,1,0
analytics engineer,autostore,denver remote,9/16/22,1,0,0,0,1,0
data science, analytics i – new graduate,expedia group,austin,9/16/22,1,0,0,0,1,0
software engineer,lucid software,slc remote,9/15/22,1,0,0,0,1,0
google analytics engineer,kimberly-clark,remote,9/15/22,1,0,0,0,1,0
remote software engineer - trust,first american,santa ana remote,9/15/22,1,0,0,0,1,0
remote software engineer,first american,washington, usa + 6 more,9/15/22,1,0,0,0,1,0
software engineer - back end,flux energy,irvine,9/15/22,1,0,0,0,1,0
data engineer - all levels,fedex,remote,9/13/22,1,0,0,0,1,0
software engineer i-univ. of michigan,ocient,remote,9/13/22,1,0,0,0,1,0
data scientist ii,aaa,costa mesa,9/13/22,1,0,0,0,1,0
software engineer,black knight,irvine remote,9/13/22,1,0,0,0,1,0
software engineer i- onsite- 2023,raytheon,aurora, co,9/12/22,1,0,0,0,1,0
new college grad: software engineer i,raytheon,fort wayne in,9/12/22,1,0,0,0,1,0
forward deployed software engineer – new grad,palantir,denver, co, usa,9/7/22,1,0,0,0,1,0
associate software engineer,the boeing company,seal beach,9/7/22,1,0,0,0,1,0
software engineer i - 2023 bachelor's degree,raytheon,fort wayne indiant,9/6/22,1,0,0,0,1,0
software engineer,phreesia,remote,9/6/22,1,0,0,0,1,0
software engineer (remote),chamberlain group,remote,9/2/22,1,0,0,0,1,0
staff/senior/junior software engineer - developer tooling, processes, and productivity (req-1858),the trade desk,irvine,9/2/22,1,0,0,0,1,0
data engineer,spotify,everett, ma, usa,9/2/22,1,0,0,0,1,0
forward deployed software engineer – new grad,palantir,denver, co, usa,9/2/22,1,0,0,0,1,0
software engineer i,raytheon,fullerton / el segundo,9/2/22,1,0,0,0,1,0
dsp engineer,spacex,irvine, ca, usa,8/30/22,1,0,0,0,1,0
data engineer,fractal analytics,remote,8/30/22,1,0,0,0,1,0
data engineer,microsoft,remote,8/30/22,1,0,0,0,1,0
software engineer (backend, java),workday,boulder co,8/30/22,1,0,0,0,1,0
front-end software engineer,yahoo,remote,8/26/22,1,0,0,0,1,0
software engineer analytics/customer escalation,easypost,remote,8/26/22,1,0,0,0,1,0
software engineer,mcclaren,indianapolis,8/25/22,1,0,0,0,1,0
associate software engineer,red hat,remote,8/25/22,1,0,0,0,1,0
software engineer,asml,san diego,8/25/22,1,0,0,0,1,0
associate software development engineer - front end,ford,remote,8/25/22,1,0,0,0,1,0
2023 software engineer i - tcrf airborne radar dept,raytheon,el segundo,8/25/22,1,0,0,0,1,0
2023 software engineer i (onsite),raytheon,fullerton,8/25/22,1,0,0,0,1,0
senior performance engineer,splunk,san francisco, ca, usa + 12 more,8/24/22,1,0,0,0,1,0
entry-level software engineering rotational program - remote,general motors,remote,8/24/22,1,0,0,0,1,0
